Source,Target,Weight
史湘云,薛姨妈,196
史湘云,薛宝钗,994
史湘云,香菱,144
史湘云,莺儿,40
史湘云,贾探春,380
史湘云,贾迎春,118
史湘云,贾惜春,92
史湘云,林黛玉,1005
史湘云,王夫人,153
史湘云,李纨,186
史湘云,王熙凤,438
史湘云,紫鹃,129
史湘云,鸳鸯,394
史湘云,平儿,135
史湘云,刘姥姥,79
史湘云,邢夫人,58
史湘云,宝琴,195
史湘云,尤氏,111
史湘云,贾琏,41
赵姨娘,贾宝玉,173
赵姨娘,王熙凤,171
赵姨娘,贾环,141
赵姨娘,王夫人,164
赵姨娘,贾政,45
赵姨娘,贾探春,106
赵姨娘,贾母,150
赵姨娘,袭人,113
赵姨娘,李纨,65
赵姨娘,平儿,64
赵姨娘,芳官,40
薛蝌,薛宝钗,121
薛蝌,薛蟠,65
薛蝌,贾母,97
薛蝌,贾宝玉,41
薛蝌,薛姨妈,164
薛蝌,贾政,46
薛蝌,金桂,310
薛蝌,香菱,94
薛蝌,宝蟾,318
宝琴,贾母,362
宝琴,王夫人,52
宝琴,邢夫人,43
宝琴,王熙凤,133
宝琴,李纨,47
宝琴,贾探春,156
宝琴,薛宝钗,278
宝琴,林黛玉,202
宝琴,史湘云,195
宝琴,贾宝玉,263
宝琴,香菱,100
宝琴,薛姨妈,92
宝琴,平儿,58
宝琴,鸳鸯,68
宝琴,尤氏,126
宝琴,袭人,45
芳官,贾母,65
芳官,王夫人,72
芳官,王熙凤,51
芳官,贾宝玉,763
芳官,林黛玉,103
芳官,贾探春,49
芳官,袭人,419
芳官,晴雯,247
芳官,麝月,67
芳官,赵姨娘,40
芳官,平儿,178
宝蟾,金桂,631
宝蟾,香菱,651
宝蟾,薛蟠,254
宝蟾,薛姨妈,231
宝蟾,薛宝钗,122
宝蟾,薛蝌,318
宝蟾,贾琏,155
