Source,Target,Weight
金桂,薛宝钗,166
金桂,宝蟾,631
金桂,薛蝌,310
妙玉,贾母,177
妙玉,贾宝玉,528
妙玉,薛宝钗,135
妙玉,林黛玉,136
妙玉,贾惜春,323
贾环,贾政,106
贾环,贾宝玉,307
贾环,贾母,118
贾环,王夫人,152
贾环,薛宝钗,109
贾环,赵姨娘,141
史湘云,贾宝玉,1406
史湘云,贾母,1278
史湘云,袭人,605
史湘云,晴雯,100
史湘云,薛姨妈,192
史湘云,薛宝钗,993
史湘云,香菱,144
史湘云,贾探春,378
史湘云,贾迎春,118
史湘云,林黛玉,992
史湘云,王夫人,153
史湘云,李纨,186
史湘云,王熙凤,437
史湘云,紫鹃,129
史湘云,鸳鸯,394
史湘云,平儿,135
史湘云,宝琴,194
史湘云,尤氏,110
赵姨娘,贾宝玉,173
赵姨娘,王熙凤,171
赵姨娘,贾环,141
赵姨娘,王夫人,164
赵姨娘,贾探春,106
赵姨娘,贾母,149
赵姨娘,袭人,113
薛蝌,薛宝钗,121
薛蝌,薛姨妈,164
薛蝌,金桂,310
薛蝌,宝蟾,318
宝琴,贾母,362
宝琴,王熙凤,130
宝琴,贾探春,155
宝琴,薛宝钗,276
宝琴,林黛玉,198
宝琴,史湘云,194
宝琴,贾宝玉,263
宝琴,香菱,100
宝琴,尤氏,123
芳官,贾宝玉,763
芳官,林黛玉,103
芳官,袭人,419
芳官,晴雯,247
芳官,平儿,178
宝蟾,金桂,631
宝蟾,香菱,651
宝蟾,薛蟠,254
宝蟾,薛姨妈,231
宝蟾,薛宝钗,122
宝蟾,薛蝌,318
宝蟾,贾琏,155
